Id Libro,Titulo,Autor,Precio,Id Editorial
8, El Codigo Da Vinci, Dan Brown, 2000,1
2, El Diario de Ana Frank, Ana Frank, 1200,1
3, El Senior De Los Anillos, JRR Tolkien, 4200,4
4, El Alquimista, Paulo Cohelo, 1200,5
1, Cien Anios De Soledad, Gabriel Garcia Marquez, 760,1
6, La Casa De Los Espiritus, Isabel Allende, 1350,4
7, Dracula, Bram Stroker, 840,1
5, El Gran Gatsby, Scott Fitzgerald, 1900,4
9, La Metamorfosis, Franz Kafka, 2300,2
10, Al Faro, Virginia Woolf, 1010,3
11, Los Miserables, Victor Hugo, 850,4
12, Rayuela, Julio Cortazar, 2020,6
13, El Aleph, Jorge Luis Borges, 930,6
14, La Tregua, Mario Benedetti, 840,2
15, Aura, Carlos Fuentes, 790,5
